week_start,temp_c,rh_pct,rain_mm,wind10_kmh,soil_moisture_top_m3m3
7/7/2025,26.925,58.73214286,15.5,7.519047619,0.074952381
7/14/2025,27.60119048,56.14880952,5.2,6.892857143,0.068672619
7/21/2025,29.03690476,46.07142857,2.6,8.164880952,0.076065476
7/28/2025,29.16428571,41.80357143,1.6,11.60952381,0.056779762
8/4/2025,25.93928571,66.79761905,64.5,5.732142857,0.175922619
8/11/2025,26.99761905,56.71428571,15.8,7.589285714,0.091678571
8/18/2025,24.66428571,72.52380952,76,7.420833333,0.190035714
8/25/2025,27.95535714,52.95833333,3.3,6.576785714,0.034940476
9/1/2025,28.29404762,51.83333333,5.4,7.726785714,0.086607143
